Inventory activity report
Report start,2026-08-01
Report end,2026-08-05

Summary,Value
Stock movements,4
Inventory items moved,1
Stock receipts,3
Workshop issues,1
Workshop returns,0
Positive adjustments,0
Negative adjustments,0
Current low-stock items,0

Stock movements
Movement number,SKU,Product,Location code,Location,Occurred,Movement type,Signed quantity,Unit cost,Currency,Reference,Notes,Recorded by
MOV-000004,OIL-FILTER-001,Engine oil filter,MAIN-STORE,Main Parts Store,2026-08-05 09:12:39,Workshop issue,-1.500,,UGX,,Demo issue generated for return testing.,admin
MOV-000003,OIL-FILTER-001,Engine oil filter,MAIN-STORE,Main Parts Store,2026-08-05 09:12:38,Stock receipt,16.000,25000.00,UGX,PO-000005 / GRN-000002 / DEMO-DELIVERY-001,Supplier delivery recorded by GRN-000002.,admin
MOV-000002,OIL-FILTER-001,Engine oil filter,MAIN-STORE,Main Parts Store,2026-08-05 09:12:38,Stock receipt,4.000,25000.00,UGX,PO-000004 / GRN-000001 / DEMO-DELIVERY-PARTIAL,Supplier delivery recorded by GRN-000001.,admin
MOV-000001,OIL-FILTER-001,Engine oil filter,MAIN-STORE,Main Parts Store,2026-08-05 09:12:38,Stock receipt,25.000,22000.00,UGX,DEMO-OPENING-STOCK,Opening stock generated by reset command.,admin

Current low-stock balances
Snapshot note,"These are current balances, not historical balances for the period."
SKU,Product,Location code,Location,On hand,Reserved,Available,Reorder level
